none,feat_1_,feat_2_,feat_3_,feat_4_,feat_5_,feat_6_,feat_7_,feat_8_,feat_9_,feat_10_,correlation,pre_grouped,test_id,model_type,No_test_obs,response,joint_prob
8.36239997643352,-0.665567625931249,-1.32422287962993,-1.98287813356981,0.651742882189813,-0.689601863895956,1.96905339006965,-1.98287813356986,2.67577712042145,-0.665567625690022,-0.348257117823031,0,0,1,experiment_lm1,100,6,0.000144421194977648
8.36239997643351,-0.665567625931247,-1.32422287962993,-1.98287813356981,0.651742882189814,-0.689601863895956,1.96905339006965,1.01712186646867,-1.32422287962994,-0.665567625690022,0.651742882189808,0,0,2,experiment_lm1,100,15,0.000455141545580461
8.36239997643352,-0.665567626104924,-1.3242228796035,-1.98287813354338,0.651742882216247,-2.68960186389521,-1.03094660994247,-1.98287813354342,0.675777120422173,0.334432374349256,0.65174288221624,0,0,3,experiment_lm1,100,9,9.85948322531214e-05
8.36239997643352,-0.665567626000719,-1.32422287961935,-1.98287813355924,-0.348257117812462,-0.689601863885384,1.96905339008022,-1.98287813355928,0.675777120406313,-0.665567625679451,0.651742882200381,0,0,4,experiment_lm1,100,13,0.000310720350602813
8.36239997643352,-0.665567626243866,-1.32422287958235,-1.98287813352223,-0.348257117775457,-0.689601863848379,-4.03094660995983,1.01712186651625,-1.32422287958236,-0.665567625642446,-1.34825711778829,0,0,5,experiment_lm1,100,9,3.12851762948968e-05
8.36239997643352,-0.665567626174394,-1.32422287959292,-1.98287813353281,-0.348257117786029,-2.68960186388463,-1.03094660993189,-1.98287813353285,0.675777120432747,-0.665567625653016,0.651742882226813,0,0,6,experiment_lm1,100,9,9.85948322531214e-05
8.3623999764335,-0.665567626174395,-1.32422287959292,-1.98287813353281,-0.34825711778603,-2.68960186388463,-1.03094660993189,1.01712186650567,-1.32422287959293,-0.665567625653017,-0.348257117786026,0,0,7,experiment_lm1,100,9,6.73096559582247e-05
8.36239997643351,-0.665567625896514,-1.32422287963522,-1.9828781335751,-1.34825711784117,1.31039813612444,1.96905339006436,-1.98287813357514,2.67577712041616,-0.665567625695308,0.651742882184521,0,0,8,experiment_lm1,100,4,9.83261312502153e-05
8.36239997643349,-0.665567625931248,-1.32422287962993,-1.98287813356981,-1.34825711783588,1.31039813612972,1.96905339006965,1.01712186646867,-1.32422287962994,0.334432374322823,-0.34825711782303,0,0,9,experiment_lm1,100,10,9.85948322531214e-05
8.36239997643352,-0.665567626174394,-1.32422287959292,-1.98287813353281,-1.34825711779887,-0.689601863858951,-4.0309466099704,1.01712186650567,0.675777120432746,-0.665567625653016,-0.348257117786025,0,0,10,experiment_lm1,100,4,2.13580611161823e-05
8.36239997643352,-0.665567626104924,-1.32422287960349,-1.98287813354338,-1.34825711780945,-2.6896018638952,-1.03094660994247,-1.98287813354343,2.67577712044788,0.334432374349256,0.65174288221624,0,0,11,experiment_lm1,100,4,1.45411864296296e-05
8.36239997643352,-0.665567625965984,-1.32422287962464,-1.98287813356452,-1.34825711783059,-2.68960186391635,-1.03094660996361,4.01712186651251,0.675777120401027,0.33443237432811,0.651742882195094,0,0,12,experiment_lm1,100,6,9.92711517871451e-06
8.36239997643351,-0.665567625792308,-1.32422287965107,1.01712186644752,0.651742882168667,1.31039813610858,1.9690533900485,1.01712186644752,-1.32422287965108,-0.665567625711167,-0.348257117844175,0,0,13,experiment_lm1,100,-1,0.000310720350602813
8.36239997643352,-0.665567625827044,-1.32422287964578,1.0171218664528,0.651742882173954,1.31039813611386,1.96905339005379,1.01712186645281,-1.32422287964579,-0.665567625705879,-1.34825711785173,0,0,14,experiment_lm1,100,6,0.000144421194977648
8.36239997643357,-0.665567625965983,-1.32422287962464,1.01712186647395,0.6517428821951,1.31039813613501,-1.03094660996362,-1.98287813356457,-1.32422287962465,-0.665567625684737,0.651742882195093,0,0,15,experiment_lm1,100,10,0.000455141545580461
8.36239997643351,-0.665567625965982,-1.32422287962464,1.01712186647395,0.651742882195101,-0.689601863890669,-1.03094660996361,1.01712186647396,-1.32422287962465,0.334432374328111,-1.34825711783058,0,0,16,experiment_lm1,100,14,4.59515948420424e-05
8.36239997643356,-0.665567625896514,-1.32422287963521,1.01712186646338,0.651742882184527,-2.68960186392692,1.96905339006436,1.01712186646338,-1.32422287963522,-0.665567625695307,0.651742882184521,0,0,17,experiment_lm1,100,12,0.000144421194977648
8.36239997643353,-0.665567625653367,-1.32422287967222,1.01712186642637,-0.348257117865327,1.31039813608743,1.96905339002736,4.01712186646493,0.675777120353449,-0.665567625732313,-0.348257117865321,0,0,18,experiment_lm1,100,4,6.73096559582247e-05
8.3623999764335,-0.665567626000718,-1.32422287961936,1.01712186647924,-0.348257117812462,-2.68960186391106,1.96905339008022,-1.98287813355928,-1.32422287961936,1.33443237434624,-0.348257117812456,0,0,19,experiment_lm1,100,14,3.12851762948968e-05
8.36239997643352,-0.665567625827045,-1.32422287964578,1.01712186645281,-1.34825711785173,1.31039813611386,1.96905339005379,1.01712186645281,-1.32422287964579,-0.665567625705879,0.651742882173946,0,0,20,experiment_lm1,100,3,0.000144421194977648
8.36239997643351,-0.665567625653368,-1.32422287967222,4.01712186646481,0.651742882147523,1.31039813608743,-1.03094661001119,1.01712186642638,0.675777120353449,0.33443237428053,0.651742882147515,0,0,21,experiment_lm1,100,4,6.73096559582247e-05
8.36239997643354,-0.665567625861778,-1.3242228796405,4.01712186649652,0.651742882179242,-0.689601863906529,-1.03094660997947,1.0171218664581,-1.32422287964051,-0.665567625700595,-0.3482571178336,0,0,22,experiment_lm1,100,9,6.73096559582247e-05
8.36239997643353,-0.665567625792307,-1.32422287965107,4.01712186648595,0.651742882168669,-0.689601863917104,-1.03094660999005,1.01712186644752,-1.32422287965108,0.33443237430168,0.651742882168662,0,0,23,experiment_lm1,100,7,6.73096559582247e-05
8.36239997643352,-0.665567625722838,-1.32422287966165,4.01712186647538,-0.348257117854753,-0.689601863927676,1.96905339003793,-1.98287813360158,2.67577712038973,-0.665567625721741,0.651742882158088,0,0,24,experiment_lm1,100,10,4.58263627245264e-05
8.36239997643352,-0.665567625722838,0.675777120364043,-1.98287813360153,0.651742882158095,1.310398136098,-1.03094661000062,4.01712186647551,0.675777120364021,-0.665567625721738,0.651742882158087,0,0,25,experiment_lm1,100,6,9.85948322531214e-05
8.36239997643353,-0.665567625896514,0.675777120390474,-1.9828781335751,0.651742882184528,-0.689601863901242,1.96905339006436,-1.98287813357515,0.675777120390454,1.33443237433038,-1.34825711784116,0,0,26,experiment_lm1,100,17,3.12851762948968e-05
8.36239997643353,-0.665567625792305,0.675777120374614,-1.98287813359096,0.651742882168668,-0.689601863917104,1.9690533900485,1.01712186644752,0.675777120374596,-0.665567625711168,0.651742882168661,0,0,27,experiment_lm1,100,6,0.000212125518349692
